Strike,Moneyness,Bid,Mid,Ask,Last,Volume,OI,Delta,IV,Type
100.00,0.3241,48.60,48.80,49.00,50.62,0,2002,0.97487,0.64,Call
105.00,0.2903,43.70,43.90,44.10,45.15,0,160,0.96777,0.5938,Call
110.00,0.2565,38.75,38.95,39.15,40.10,0,4906,0.96248,0.5322,Call
115.00,0.2227,33.90,34.10,34.30,35.85,3,4162,0.94972,0.4921,Call
120.00,0.1889,29.25,29.38,29.50,29.28,30,881,0.93279,0.4506,Call
125.00,0.1551,24.60,24.73,24.85,25.00,30,627,0.89740,0.4344,Call
130.00,0.1213,20.20,20.30,20.40,20.30,585,3890,0.85167,0.4121,Call
135.00,0.0875,16.15,16.23,16.30,16.05,57,1357,0.78606,0.3981,Call
140.00,0.0537,12.55,12.63,12.70,12.50,265,3064,0.70103,0.3908,Call
145.00,0.0199,9.50,9.55,9.60,9.52,1479,7821,0.60306,0.3853,Call
150.00,-0.0139,7.00,7.05,7.10,7.05,2689,11008,0.49959,0.3861,Call
155.00,-0.0477,5.00,5.03,5.05,5.02,2185,9746,0.39862,0.3836,Call
160.00,-0.0814,3.50,3.53,3.55,3.51,5149,11132,0.30750,0.3842,Call
165.00,-0.1152,2.41,2.44,2.47,2.44,2041,8257,0.23165,0.388,Call
170.00,-0.1490,1.67,1.69,1.71,1.68,4058,9911,0.17101,0.3926,Call
175.00,-0.1828,1.18,1.19,1.21,1.20,1494,9184,0.12756,0.4026,Call
180.00,-0.2166,0.86,0.87,0.87,0.87,1813,12422,0.09557,0.4136,Call
185.00,-0.2504,0.63,0.64,0.65,0.65,928,5389,0.07285,0.4266,Call
190.00,-0.2842,0.49,0.50,0.51,0.49,302,8789,0.05584,0.439,Call
195.00,-0.3180,0.39,0.40,0.41,0.40,1023,4427,0.04532,0.4569,Call
100.00,-0.3241,0.20,0.21,0.21,0.21,104,3540,-0.01832,0.5945,Put
105.00,-0.2903,0.25,0.26,0.27,0.28,2004,57287,-0.02382,0.5495,Put
110.00,-0.2565,0.33,0.34,0.35,0.33,340,11438,-0.03163,0.5071,Put
115.00,-0.2227,0.44,0.45,0.45,0.44,468,5374,-0.04357,0.4695,Put
120.00,-0.1889,0.62,0.63,0.64,0.64,976,9624,-0.06360,0.4403,Put
125.00,-0.1551,0.93,0.95,0.96,0.94,693,11591,-0.09300,0.4126,Put
130.00,-0.1213,1.49,1.51,1.53,1.50,842,13017,-0.14107,0.3963,Put
135.00,-0.0875,2.38,2.41,2.44,2.40,1443,27525,-0.20914,0.3852,Put
140.00,-0.0537,3.75,3.80,3.85,3.77,1852,16343,-0.29716,0.3793,Put
145.00,-0.0199,5.65,5.70,5.75,5.67,1824,14981,-0.39922,0.3756,Put
150.00,0.0139,8.10,8.18,8.25,8.22,1362,12430,-0.50687,0.378,Put
155.00,0.0477,11.15,11.20,11.25,11.02,503,6731,-0.61220,0.3753,Put
160.00,0.0814,14.65,14.83,15.00,14.36,58,6888,-0.70367,0.3819,Put
165.00,0.1152,18.60,18.70,18.80,18.95,122,2666,-0.78697,0.3795,Put
170.00,0.1490,22.90,22.98,23.05,22.82,164,3612,-0.85381,0.3815,Put
175.00,0.1828,27.45,27.58,27.70,27.35,28,2631,-0.89935,0.3924,Put
180.00,0.2166,32.20,32.35,32.50,32.14,8,1916,-0.93133,0.4081,Put
185.00,0.2504,37.00,37.18,37.35,41.75,0,613,-0.95828,0.4163,Put
190.00,0.2842,41.80,42.05,42.30,41.95,1,391,-0.94526,0.4825,Put
195.00,0.3180,46.80,47.00,47.20,45.20,0,319,-0.96081,0.499,Put