CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate
912797GV3,Bill,4-Week,08/31/2023,09/05/2023,10/03/2023,99.589333,0.05390
912797HD2,Bill,8-Week,08/31/2023,09/05/2023,10/31/2023,99.177111,0.05423
912797HX8,Bill,17-Week,08/30/2023,09/05/2023,01/02/2024,98.238139,0.05516
912797FA0,Bill,42-Day,08/29/2023,08/31/2023,10/12/2023,99.382833,0.05412
912796ZD4,Bill,13-Week,08/28/2023,08/31/2023,11/30/2023,98.650167,0.05503
912797GP6,Bill,26-Week,08/28/2023,08/31/2023,02/29/2024,97.295278,0.05590
912797GU5,Bill,4-Week,08/24/2023,08/29/2023,09/26/2023,99.588944,0.05395
912797HC4,Bill,8-Week,08/24/2023,08/29/2023,10/24/2023,99.177111,0.05423
912797HW0,Bill,17-Week,08/23/2023,08/29/2023,12/26/2023,98.243097,0.05500
912796YJ2,Bill,42-Day,08/22/2023,08/24/2023,10/05/2023,99.384000,0.05401
912797FL6,Bill,13-Week,08/21/2023,08/24/2023,11/24/2023,98.645556,0.05462
912796Z28,Bill,26-Week,08/21/2023,08/24/2023,02/22/2024,97.323083,0.05531
912797GJ0,Bill,7-Day,08/17/2023,08/22/2023,08/29/2023,99.898500,0.05312
912797GT8,Bill,4-Week,08/17/2023,08/22/2023,09/19/2023,99.589333,0.05390
912797HB6,Bill,8-Week,08/17/2023,08/22/2023,10/17/2023,99.178667,0.05412
912797HV2,Bill,17-Week,08/16/2023,08/22/2023,12/19/2023,98.246403,0.05490
912796CS6,Bill,42-Day,08/15/2023,08/17/2023,09/28/2023,99.383417,0.05406
912797FK8,Bill,13-Week,08/14/2023,08/17/2023,11/16/2023,98.661542,0.05456
912797GN1,Bill,26-Week,08/14/2023,08/17/2023,02/15/2024,97.325611,0.05526
912797GS0,Bill,4-Week,08/10/2023,08/15/2023,09/12/2023,99.589333,0.05390
912797HA8,Bill,8-Week,08/10/2023,08/15/2023,10/10/2023,99.178667,0.05412
912797HU4,Bill,17-Week,08/09/2023,08/15/2023,12/12/2023,98.244750,0.05495
912796CR8,Bill,42-Day,08/08/2023,08/10/2023,09/21/2023,99.384583,0.05396
912797GK7,Bill,52-Week,08/08/2023,08/10/2023,08/08/2024,94.883778,0.05351
912797FJ1,Bill,13-Week,08/07/2023,08/10/2023,11/09/2023,98.662806,0.05451
912797GM3,Bill,26-Week,08/07/2023,08/10/2023,02/08/2024,97.338250,0.05499
912797GR2,Bill,4-Week,08/03/2023,08/08/2023,09/05/2023,99.589722,0.05385
912797GV3,Bill,8-Week,08/03/2023,08/08/2023,10/03/2023,99.177889,0.05418
912797HN0,Bill,17-Week,08/02/2023,08/08/2023,12/05/2023,98.248056,0.05484
912796CQ0,Bill,42-Day,08/01/2023,08/03/2023,09/14/2023,99.384000,0.05401
912796YT0,Bill,13-Week,07/31/2023,08/03/2023,11/02/2023,98.665333,0.05441
912797GE1,Bill,26-Week,07/31/2023,08/03/2023,02/01/2024,97.335722,0.05504
912797GJ0,Bill,4-Week,07/27/2023,08/01/2023,08/29/2023,99.589722,0.05385
912797GU5,Bill,8-Week,07/27/2023,08/01/2023,09/26/2023,99.177889,0.05418
912797HM2,Bill,17-Week,07/26/2023,08/01/2023,11/28/2023,98.248056,0.05484
912796YH6,Bill,42-Day,07/25/2023,07/27/2023,09/07/2023,99.384583,0.05396
912797FC6,Bill,13-Week,07/24/2023,07/27/2023,10/26/2023,98.667861,0.05430
912796ZY8,Bill,26-Week,07/24/2023,07/27/2023,01/25/2024,97.335722,0.05504
912797GH4,Bill,4-Week,07/20/2023,07/25/2023,08/22/2023,99.591278,0.05365
912797GT8,Bill,8-Week,07/20/2023,07/25/2023,09/19/2023,99.182556,0.05387
912797HL4,Bill,17-Week,07/19/2023,07/25/2023,11/21/2023,98.257972,0.05453
912796Z51,Bill,42-Day,07/18/2023,07/20/2023,08/31/2023,99.388667,0.05360
912797FB8,Bill,13-Week,07/17/2023,07/20/2023,10/19/2023,98.672917,0.05409
912797GD3,Bill,26-Week,07/17/2023,07/20/2023,01/18/2024,97.345833,0.05483
912797GG6,Bill,4-Week,07/13/2023,07/18/2023,08/15/2023,99.594778,0.05318
912797GS0,Bill,8-Week,07/13/2023,07/18/2023,09/12/2023,99.186444,0.05361
912797HK6,Bill,17-Week,07/12/2023,07/18/2023,11/14/2023,98.261278,0.05442
912796Z44,Bill,42-Day,07/11/2023,07/13/2023,08/24/2023,99.392167,0.05329
912797GB7,Bill,52-Week,07/11/2023,07/13/2023,07/11/2024,94.813000,0.05428
912797FA0,Bill,13-Week,07/10/2023,07/13/2023,10/12/2023,98.672917,0.05409
912797GC5,Bill,26-Week,07/10/2023,07/13/2023,01/11/2024,97.335722,0.05504
912797GF8,Bill,4-Week,07/06/2023,07/11/2023,08/08/2023,99.599444,0.05257
912797GR2,Bill,8-Week,07/06/2023,07/11/2023,09/05/2023,99.191111,0.05330
912797HJ9,Bill,17-Week,07/05/2023,07/11/2023,11/07/2023,98.264583,0.05432
912796Z36,Bill,42-Day,07/03/2023,07/06/2023,08/17/2023,99.396833,0.05288
912796YJ2,Bill,13-Week,07/03/2023,07/06/2023,10/05/2023,98.677972,0.05388
912797FW2,Bill,26-Week,07/03/2023,07/06/2023,01/04/2024,97.340778,0.05494
912797GA9,Bill,4-Week,06/29/2023,07/05/2023,08/01/2023,99.618625,0.05190
912797GJ0,Bill,8-Week,06/29/2023,07/05/2023,08/29/2023,99.207083,0.05319
912797HD2,Bill,17-Week,06/28/2023,07/05/2023,10/31/2023,98.287361,0.05405
912796XY0,Bill,42-Day,06/27/2023,06/29/2023,08/10/2023,99.404417,0.05221
912796CS6,Bill,13-Week,06/26/2023,06/29/2023,09/28/2023,98.690611,0.05336
912796ZN2,Bill,26-Week,06/26/2023,06/29/2023,12/28/2023,97.363528,0.05445
912797FZ5,Bill,4-Week,06/22/2023,06/27/2023,07/25/2023,99.610333,0.05113
912797GH4,Bill,8-Week,06/22/2023,06/27/2023,08/22/2023,99.200444,0.05268
912797HC4,Bill,17-Week,06/21/2023,06/27/2023,10/24/2023,98.274500,0.05400
912796Y37,Bill,42-Day,06/20/2023,06/22/2023,08/03/2023,99.408500,0.05185
912796CR8,Bill,13-Week,06/20/2023,06/22/2023,09/21/2023,98.703250,0.05284
912797FV4,Bill,26-Week,06/20/2023,06/22/2023,12/21/2023,97.386278,0.05397
912797FY8,Bill,4-Week,06/15/2023,06/20/2023,07/18/2023,99.610333,0.05113
912797GG6,Bill,8-Week,06/15/2023,06/20/2023,08/15/2023,99.209778,0.05206
912797HB6,Bill,17-Week,06/14/2023,06/20/2023,10/17/2023,98.297639,0.05327
912796Y29,Bill,42-Day,06/13/2023,06/15/2023,07/27/2023,99.414333,0.05134
912797FS1,Bill,52-Week,06/13/2023,06/15/2023,06/13/2024,95.015222,0.05208
912796CQ0,Bill,13-Week,06/12/2023,06/15/2023,09/14/2023,98.698194,0.05305
912797FU6,Bill,26-Week,06/12/2023,06/15/2023,12/14/2023,97.393861,0.05381
912797FX0,Bill,4-Week,06/08/2023,06/13/2023,07/11/2023,99.604111,0.05195
912797GF8,Bill,8-Week,06/08/2023,06/13/2023,08/08/2023,99.203556,0.05247
912797HA8,Bill,17-Week,06/07/2023,06/13/2023,10/10/2023,98.281111,0.05379
912796YH6,Bill,13-Week,06/05/2023,06/08/2023,09/07/2023,98.680500,0.05378
912797FT9,Bill,26-Week,06/05/2023,06/08/2023,12/07/2023,97.345833,0.05483
912796ZZ5,Bill,44-Day,06/05/2023,06/06/2023,07/20/2023,99.370556,0.05269
912797FM4,Bill,1-Day,06/02/2023,06/05/2023,06/06/2023,99.985944,0.05145
912796XQ7,Bill,38-Day,06/02/2023,06/05/2023,07/13/2023,99.445833,0.05367
912797FR3,Bill,4-Week,06/01/2023,06/06/2023,07/05/2023,99.586750,0.05237
912797GA9,Bill,8-Week,06/01/2023,06/06/2023,08/01/2023,99.188000,0.05350
912797MF1,Bill,3-Day,06/01/2023,06/02/2023,06/05/2023,99.948750,0.06256
912797GV3,Bill,17-Week,05/31/2023,06/06/2023,10/03/2023,98.239792,0.05511
912796Z51,Bill,13-Week,05/30/2023,06/01/2023,08/31/2023,98.660278,0.05462
912797FJ1,Bill,161-Day,05/30/2023,06/01/2023,11/09/2023,97.611833,0.05562
912796ZD4,Bill,26-Week,05/30/2023,06/01/2023,11/30/2023,97.325611,0.05526
912797FQ5,Bill,4-Week,05/25/2023,05/30/2023,06/27/2023,99.552778,0.05872
912797FZ5,Bill,8-Week,05/25/2023,05/30/2023,07/25/2023,99.167778,0.05485
912797GU5,Bill,17-Week,05/24/2023,05/30/2023,09/26/2023,98.261278,0.05442
912796X53,Bill,21-Day,05/23/2023,05/25/2023,06/15/2023,99.638333,0.06326
912796Z44,Bill,13-Week,05/22/2023,05/25/2023,08/24/2023,98.672917,0.05409